State,Region,Division,County,FIPS,GEOID,SMS Region,Year,Premature death,Poor or fair health,Poor physical health days,Poor mental health days,Low birthweight,Adult smoking,Adult obesity,Food environment index,Physical inactivity,Access to exercise opportunities,Excessive drinking,Alcohol-impaired driving deaths,Sexually transmitted infections,Teen births,Uninsured,Primary care physicians,Dentists,Mental health providers,Preventable hospital stays,Diabetic screening,Mammography screening,High school graduation,Some college,Unemployment,Children in poverty,Income inequality,Children in single-parent households,Social associations,Violent crime,Injury deaths,Air pollution - particulate matter,Drinking water violations,Severe housing problems,Driving alone to work,Long commute - driving alone,2011 population estimate,Population that is not proficient in English,Population living in a rural area,Diabetes,HIV prevalence rate,Premature age-adjusted mortality,Infant mortality,Child mortality,Food insecurity,Limited access to healthy foods,Motor vehicle crash deaths,Drug poisoning deaths,Uninsured adults,Uninsured children,Health care costs,Could not see doctor due to cost,Other primary care providers,Median household income,Children eligible for free lunch,Homicide rate,Inadequate social support
GA,South,South Atlantic,Irwin County,13155,13155,Insuff Data,1/1/2014,10284.0,0.15,3.1,,0.15,,0.31,7.067,0.267,0.037,,0.368,537.2,56.2,0.244,31.0,19.0,,86.82,0.81,0.73,0.575,0.423,0.119,0.362,,0.361,,279.07,64.3,12.39,0.0,0.103,0.767,0.322,9600,0.013,0.647,0.123,220.1,491.0,,114.8,0.192,0.027,19.29,,0.307,0.099,9324.0,0.162,10.0,32965,0.627,,0.145
GA,South,South Atlantic,Irwin County,13155,13155,Insuff Data,1/1/2015,9272.0,0.15,3.1,,0.16,,0.309,6.7,0.258,0.474,,0.3,520.8,56.9,0.222,42.0,21.0,,90.75,0.8,0.78,0.675,0.431,0.111,0.35,5.1,0.358,11.458,282.91,70.6,12.39,0.0,0.114,0.723,0.33,9427,0.006,0.647,0.122,220.1,428.4,,,0.191,0.027,16.3,,0.278,0.088,9773.0,0.162,21.0,35854,0.611,,
GA,South,South Atlantic,Jackson County,13157,13157,Region 24,1/1/2014,8056.0,0.19,3.9,4.3,0.08,0.243,0.264,8.431,0.265,0.213,0.103,0.197,217.1,49.2,0.212,51.0,44.0,24.0,69.31,0.87,0.57,0.778,0.547,0.087,0.209,,0.265,,146.76,78.6,13.28,0.0,0.128,0.814,0.461,60571,0.018,0.6,0.093,87.6,408.7,8.2,68.1,0.135,0.005,26.13,17.16,0.259,0.105,9353.0,0.233,36.0,50403,0.404,4.35,0.16
GA,South,South Atlantic,Jackson County,13157,13157,Region 24,1/1/2015,8070.0,0.19,3.9,4.3,0.08,0.243,0.285,8.2,0.259,0.736,0.103,0.203,246.0,44.9,0.204,53.0,49.0,38.0,64.17,0.87,0.65,0.832,0.554,0.074,0.186,4.416,0.262,9.41,134.91,72.6,13.28,0.0,0.138,0.84,0.478,61044,0.022,0.6,0.089,87.6,408.9,7.4,54.9,0.134,0.005,20.81,17.42,0.253,0.092,9536.0,0.233,38.0,52385,0.404,3.2,
GA,South,South Atlantic,Jasper County,13159,13159,Region 24,1/1/2014,8682.0,,4.3,,0.09,0.21,0.298,7.476,0.294,0.225,,0.2,324.1,54.1,0.239,36.0,15.0,22.0,52.16,0.83,0.62,0.775,0.473,0.096,0.323,,0.381,,205.6,71.6,13.08,0.0,0.191,0.773,0.559,13630,0.019,0.818,0.118,402.4,434.6,,78.5,0.17,0.029,23.4,,0.288,0.117,8854.0,,,41842,0.626,,
GA,South,South Atlantic,Jasper County,13159,13159,Region 24,1/1/2015,8924.0,,4.3,,0.09,0.21,0.294,7.2,0.288,0.687,,0.267,410.9,51.6,0.226,44.0,15.0,22.0,71.8,0.87,0.59,0.775,0.47,0.082,0.313,4.349,0.414,8.804,218.16,75.3,13.08,0.0,0.204,0.771,0.559,13601,0.013,0.818,0.116,402.4,403.4,,73.1,0.165,0.029,18.76,,0.276,0.102,9906.0,,7.0,42343,0.618,,
GA,South,South Atlantic,Jeff Davis County,13161,13161,Insuff Data,1/1/2014,11168.0,0.232,5.4,4.2,0.1,0.17,0.285,6.612,0.308,0.125,,0.364,494.7,89.8,0.255,20.0,7.0,7.0,155.62,0.79,0.45,0.775,0.418,0.139,0.365,,0.363,,328.41,109.9,12.58,0.003,0.124,0.805,0.22,15156,0.015,0.695,0.117,224.6,543.0,,67.9,0.198,0.059,30.02,22.02,0.318,0.124,10896.0,,20.0,32867,0.599,,
GA,South,South Atlantic,Jeff Davis County,13161,13161,Insuff Data,1/1/2015,10634.0,0.232,5.4,4.2,0.1,0.17,0.284,6.3,0.297,0.639,,0.381,382.7,86.9,0.226,20.0,7.0,7.0,174.7,0.8,0.53,0.775,0.432,0.122,0.369,4.538,0.36,10.557,385.47,93.5,12.58,0.003,0.144,0.787,0.213,15004,0.018,0.695,0.125,224.6,515.5,,83.6,0.196,0.059,29.1,26.19,0.29,0.092,12234.0,,27.0,34481,0.626,,
GA,South,South Atlantic,Jefferson County,13163,13163,Region 16,1/1/2014,10070.0,0.195,4.3,3.6,0.13,0.151,0.378,6.066,0.304,0.701,,0.471,701.6,72.4,0.225,42.0,24.0,,83.3,0.84,0.64,0.74,0.359,0.139,0.422,,0.514,,223.14,79.2,12.82,0.026,0.157,0.791,0.311,16432,0.0,0.807,0.141,274.0,534.9,,69.3,0.251,0.01,23.62,9.28,0.282,0.092,9914.0,0.211,43.0,29316,0.77,9.28,
GA,South,South Atlantic,Jefferson County,13163,13163,Region 16,1/1/2015,11489.0,0.195,4.3,3.6,0.13,0.151,0.381,5.5,0.276,0.404,,0.444,1004.1,73.9,0.214,43.0,25.0,,68.51,0.88,0.65,0.67,0.377,0.147,0.395,5.103,0.499,13.997,297.03,69.0,12.82,0.0,0.181,0.791,0.314,16320,0.004,0.807,0.14,274.0,534.7,,95.0,0.255,0.01,22.08,9.34,0.269,0.086,9045.0,0.211,49.0,29152,0.761,9.5,
