State,Region,Division,County,FIPS,GEOID,SMS Region,Year,Premature death,Poor or fair health,Poor physical health days,Poor mental health days,Low birthweight,Adult smoking,Adult obesity,Food environment index,Physical inactivity,Access to exercise opportunities,Excessive drinking,Alcohol-impaired driving deaths,Sexually transmitted infections,Teen births,Uninsured,Primary care physicians,Dentists,Mental health providers,Preventable hospital stays,Diabetic screening,Mammography screening,High school graduation,Some college,Unemployment,Children in poverty,Income inequality,Children in single-parent households,Social associations,Violent crime,Injury deaths,Air pollution - particulate matter,Drinking water violations,Severe housing problems,Driving alone to work,Long commute - driving alone,2011 population estimate,Population that is not proficient in English,Population living in a rural area,Diabetes,HIV prevalence rate,Premature age-adjusted mortality,Infant mortality,Child mortality,Food insecurity,Limited access to healthy foods,Motor vehicle crash deaths,Drug poisoning deaths,Uninsured adults,Uninsured children,Health care costs,Could not see doctor due to cost,Other primary care providers,Median household income,Children eligible for free lunch,Homicide rate,Inadequate social support
GA,South,South Atlantic,Marion County,13197,13197,Insuff Data,1/1/2015,7557.0,0.332,5.8,4.7,0.09,,0.327,2.8,0.326,0.192,,0.3,275.5,63.2,0.231,11.0,12.0,,42.82,0.73,0.57,0.725,0.412,0.071,0.388,5.139,0.455,5.74,,62.6,12.73,0.0,0.16,0.834,0.513,8640,0.024,1.0,0.143,139.6,421.2,,,0.185,0.417,31.95,,0.275,0.12,8086.0,0.259,23.0,34680,0.654,,
GA,South,South Atlantic,McDuffie County,13189,13189,Region 24,1/1/2014,13093.0,0.239,5.5,3.6,0.12,0.243,0.325,6.627,0.29,0.619,,0.371,669.0,70.2,0.199,60.0,27.0,9.0,70.56,0.86,0.55,0.77,0.429,0.102,0.375,,0.506,,259.38,92.1,12.87,0.0,0.145,0.827,0.332,21663,0.006,0.61,0.147,150.1,585.7,11.9,86.4,0.205,0.044,29.09,8.59,0.248,0.087,8692.0,0.122,42.0,36331,0.62,7.27,0.199
GA,South,South Atlantic,McDuffie County,13189,13189,Region 24,1/1/2015,11473.0,0.239,5.5,3.6,0.12,0.243,0.348,6.3,0.299,0.785,,0.414,803.2,65.5,0.2,55.0,32.0,46.0,49.17,0.84,0.6,0.74,0.434,0.093,0.374,5.243,0.502,12.002,144.67,87.3,12.87,0.5,0.154,0.838,0.363,21565,0.006,0.61,0.158,150.1,514.8,11.8,88.2,0.2,0.044,26.33,9.21,0.253,0.079,8366.0,0.122,51.0,37328,0.625,8.4,
GA,South,South Atlantic,McIntosh County,13191,13191,Insuff Data,1/1/2014,7872.0,0.244,4.0,3.0,0.1,0.291,0.315,7.285,0.287,0.683,,0.185,444.6,56.1,0.225,14.0,14.0,115.0,68.37,0.83,0.66,0.775,0.522,0.106,0.36,,0.589,,383.59,65.1,12.81,0.0,0.172,0.777,0.343,13839,0.005,0.743,0.135,299.6,361.5,,,0.176,0.036,20.27,,0.266,0.107,8709.0,0.178,29.0,37040,0.713,,
GA,South,South Atlantic,McIntosh County,13191,13191,Insuff Data,1/1/2015,8575.0,0.244,4.0,3.0,0.1,0.291,0.311,7.0,0.299,0.751,,0.222,411.9,55.9,0.223,14.0,14.0,186.0,65.97,0.82,0.66,0.825,0.558,0.101,0.365,4.63,0.444,8.671,242.33,63.8,12.81,0.0,0.177,0.768,0.411,14007,0.001,0.743,0.137,299.6,386.8,,,0.172,0.036,23.67,10.29,0.265,0.1,9032.0,0.178,29.0,36346,0.712,,
GA,South,South Atlantic,Meriwether County,13199,13199,Insuff Data,1/1/2014,9727.0,0.212,3.5,3.2,0.1,0.194,0.323,6.862,0.291,0.198,,0.074,444.1,57.9,0.213,28.0,19.0,23.0,75.69,0.83,0.56,0.7,0.373,0.113,0.363,,0.461,,243.61,79.3,13.02,0.319,0.153,0.804,0.501,21273,0.007,0.833,0.132,220.8,484.2,,64.6,0.212,0.008,27.95,11.43,0.262,0.086,10121.0,,33.0,35312,0.528,7.62,
GA,South,South Atlantic,Meriwether County,13199,13199,Insuff Data,1/1/2015,9809.0,0.212,3.5,3.2,0.11,0.194,0.328,6.8,0.314,0.358,,0.037,451.3,55.9,0.215,33.0,14.0,47.0,79.73,0.86,0.58,0.825,0.363,0.11,0.426,4.378,0.462,12.692,252.1,76.4,13.02,0.475,0.15,0.803,0.525,21232,0.004,0.833,0.128,220.8,478.6,,73.5,0.194,0.008,27.07,13.53,0.264,0.084,9254.0,,28.0,34962,0.538,8.3,
GA,South,South Atlantic,Miller County,13201,13201,Insuff Data,1/1/2014,11530.0,0.097,2.4,2.4,0.1,,0.316,7.818,0.374,0.121,,0.3,732.8,56.4,0.215,65.0,49.0,16.0,116.23,0.81,0.51,0.825,0.504,0.063,0.374,,0.445,,162.19,75.1,12.18,0.0,0.151,0.793,0.25,5969,0.009,1.0,0.144,90.7,570.7,,,0.158,0.02,37.32,,0.262,0.101,10844.0,,117.0,32262,0.629,,
GA,South,South Atlantic,Miller County,13201,13201,Insuff Data,1/1/2015,10659.0,0.097,2.4,2.4,0.12,,0.316,7.2,0.354,0.641,,0.167,385.3,61.2,0.212,50.0,51.0,17.0,114.56,0.86,0.52,0.625,0.542,0.056,0.395,5.274,0.462,16.753,199.59,85.2,12.18,0.0,0.124,0.809,0.229,5932,0.007,1.0,0.138,90.7,517.8,,,0.17,0.02,35.09,,0.263,0.092,10949.0,,135.0,32535,0.628,,
GA,South,South Atlantic,Mitchell County,13205,13205,Region 24,1/1/2014,10352.0,0.16,3.8,,0.11,0.169,0.313,5.893,0.328,0.317,,0.3,660.6,84.1,0.218,55.0,16.0,,57.91,0.78,0.61,0.677,0.312,0.09,0.395,,0.476,,523.0,62.5,12.06,0.0,0.174,0.734,0.24,23144,0.009,0.545,0.129,410.7,512.0,9.6,75.2,0.215,0.096,23.58,7.26,0.276,0.088,9058.0,0.204,13.0,30020,0.67,,0.244
GA,South,South Atlantic,Mitchell County,13205,13205,Region 24,1/1/2015,8691.0,0.16,3.8,,0.11,0.169,0.317,5.5,0.318,0.423,,0.421,600.6,79.5,0.204,52.0,17.0,195.0,54.03,0.81,0.63,0.775,0.376,0.087,0.422,5.636,0.461,13.826,423.64,59.6,12.06,0.0,0.161,0.749,0.275,23045,0.013,0.545,0.127,410.7,433.5,9.2,90.9,0.213,0.096,24.84,6.06,0.263,0.074,8710.0,0.204,13.0,32280,0.779,,
GA,South,South Atlantic,Monroe County,13207,13207,Region 24,1/1/2014,7334.0,,3.8,2.0,0.11,0.285,0.326,7.85,0.27,0.446,,0.125,319.2,33.5,0.18,45.0,14.0,,60.87,0.86,0.67,0.78,0.502,0.082,0.207,,0.325,,156.2,56.5,13.03,0.0,0.146,0.852,0.384,26637,0.005,0.802,0.123,83.5,390.8,,41.5,0.145,0.041,19.21,6.78,0.213,0.091,10009.0,,19.0,50594,0.483,6.21,
GA,South,South Atlantic,Monroe County,13207,13207,Region 24,1/1/2015,7774.0,,3.8,2.0,0.1,0.285,0.343,7.5,0.269,0.691,,0.171,322.9,32.7,0.173,49.0,15.0,26.0,65.43,0.84,0.65,0.8,0.528,0.079,0.213,4.786,0.303,11.263,156.05,66.7,13.03,0.0,0.138,0.849,0.352,26984,0.006,0.802,0.129,83.5,368.9,,67.6,0.148,0.041,19.72,8.22,0.207,0.08,10795.0,,19.0,54793,0.496,6.5,
GA,South,South Atlantic,Montgomery County,13209,13209,Region 24,1/1/2014,8864.0,,3.1,3.5,0.11,,0.327,6.813,0.278,0.25,,0.4,540.5,45.9,0.239,,,,,0.84,0.63,0.725,0.378,0.101,0.457,,0.402,,,70.0,12.68,0.0,0.127,0.861,0.229,8913,0.016,0.987,0.123,92.6,458.7,,,0.188,0.059,28.24,,0.282,0.129,9427.0,0.19,,33983,0.727,,
GA,South,South Atlantic,Montgomery County,13209,13209,Region 24,1/1/2015,9798.0,,3.1,3.5,0.12,,0.362,6.4,0.301,0.238,,0.167,392.7,48.0,0.244,,,11.0,69.9,0.83,0.71,0.625,0.392,0.099,0.358,5.037,0.446,10.098,,70.6,12.68,0.0,0.147,0.868,0.237,9021,0.02,0.987,0.14,92.6,462.8,,,0.188,0.059,25.13,,0.293,0.121,9067.0,0.19,,37128,0.736,,
GA,South,South Atlantic,Morgan County,13211,13211,Region 24,1/1/2014,7352.0,0.121,,,0.09,0.15,0.315,7.269,0.27,0.379,,0.194,356.3,37.8,0.208,61.0,44.0,28.0,60.87,0.87,0.66,0.86,0.506,0.08,0.235,,0.263,,148.87,55.2,13.11,0.0,0.166,0.867,0.363,17881,0.011,0.754,0.136,131.4,389.4,,,0.156,0.076,18.82,,0.251,0.106,9242.0,,17.0,46445,0.432,,0.186
GA,South,South Atlantic,Morgan County,13211,13211,Region 24,1/1/2015,7325.0,0.121,,,0.09,0.15,0.31,7.0,0.273,0.434,,0.148,385.9,35.5,0.201,56.0,45.0,34.0,58.88,0.85,0.64,0.83,0.503,0.072,0.249,4.421,0.258,13.422,164.22,65.9,13.11,0.019,0.17,0.883,0.357,17781,0.004,0.754,0.134,131.4,381.0,,,0.153,0.076,19.27,,0.243,0.099,9818.0,,17.0,48337,0.44,,
GA,South,South Atlantic,Murray County,13213,13213,Region 24,1/1/2014,8856.0,0.293,5.2,5.2,0.08,0.264,0.277,7.265,0.336,0.584,0.137,0.061,250.3,75.7,0.245,23.0,10.0,,84.24,0.88,0.51,0.66,0.324,0.123,0.291,,0.276,,141.29,79.6,13.36,0.0,0.177,0.88,0.287,39392,0.035,0.701,0.116,56.6,474.8,7.2,48.2,0.164,0.061,27.25,20.8,0.303,0.111,10423.0,0.352,48.0,35918,0.627,,0.311
GA,South,South Atlantic,Murray County,13213,13213,Region 24,1/1/2015,9320.0,0.293,5.2,5.2,0.08,0.264,0.282,7.0,0.317,0.822,0.137,0.125,281.8,69.5,0.243,20.0,10.0,,66.98,0.85,0.53,0.79,0.353,0.107,0.298,4.521,0.296,4.062,169.51,81.7,13.36,0.0,0.182,0.864,0.305,39267,0.036,0.701,0.114,56.6,495.5,6.8,44.9,0.161,0.061,25.48,26.2,0.306,0.096,9607.0,0.352,59.0,40343,0.637,,
GA,South,South Atlantic,Muscogee County,13215,13215,Region 24,1/1/2014,10456.0,0.171,3.9,3.8,0.11,0.225,0.358,5.684,0.296,0.692,0.182,0.294,873.2,67.9,0.187,92.0,45.0,156.0,49.41,0.8,0.6,0.68,0.628,0.091,0.281,,0.484,,544.77,61.9,12.82,0.0,0.174,0.769,0.156,198413,0.014,0.03,0.125,487.6,504.7,13.6,116.3,0.209,0.127,13.98,6.65,0.235,0.074,9145.0,0.141,126.0,43264,0.549,11.38,0.256
GA,South,South Atlantic,Muscogee County,13215,13215,Region 24,1/1/2015,9549.0,0.171,3.9,3.8,0.11,0.225,0.362,5.3,0.283,0.772,0.182,0.291,750.5,65.6,0.181,91.0,49.0,229.0,47.62,0.81,0.57,0.68,0.632,0.089,0.34,4.975,0.496,10.786,507.57,63.7,12.82,0.0,0.18,0.773,0.155,202824,0.015,0.03,0.13,487.6,485.3,12.7,101.8,0.206,0.127,13.16,8.95,0.23,0.067,9386.0,0.141,137.0,40414,0.572,9.9,
GA,South,South Atlantic,Newton County,13217,13217,Region 24,1/1/2014,7784.0,0.162,3.3,2.6,0.1,0.212,0.317,6.583,0.272,0.657,0.119,0.234,636.8,48.8,0.213,34.0,16.0,53.0,77.3,0.88,0.64,0.64,0.577,0.103,0.232,,0.393,,378.48,57.6,13.19,0.0,0.188,0.815,0.459,101505,0.011,0.312,0.112,172.4,410.8,6.8,56.6,0.182,0.093,17.99,9.38,0.267,0.099,9200.0,0.238,27.0,48780,0.545,6.15,0.201
GA,South,South Atlantic,Newton County,13217,13217,Region 24,1/1/2015,8283.0,0.162,3.3,2.6,0.1,0.212,0.335,6.3,0.255,0.755,0.119,0.231,716.2,45.2,0.198,33.0,17.0,75.0,76.72,0.88,0.64,0.76,0.586,0.092,0.241,4.05,0.419,6.601,379.39,58.8,13.19,0.0,0.186,0.812,0.458,102446,0.011,0.312,0.112,172.4,425.8,6.6,52.4,0.178,0.093,17.63,10.34,0.25,0.09,9519.0,0.238,28.0,50862,0.57,6.3,
GA,South,South Atlantic,Oconee County,13219,13219,Region 24,1/1/2014,4639.0,0.128,2.0,,0.08,0.128,0.267,8.82,0.23,0.843,0.121,0.158,188.8,14.7,0.15,93.0,41.0,116.0,56.39,0.85,0.68,0.92,0.746,0.055,0.106,,0.204,,233.69,38.8,13.16,0.0,0.1,0.834,0.229,33619,0.01,0.503,0.096,32.8,250.3,,,0.09,0.054,11.22,7.01,0.181,0.085,9476.0,0.124,33.0,75532,0.174,,0.115
GA,South,South Atlantic,Oconee County,13219,13219,Region 24,1/1/2015,5223.0,0.128,2.0,,0.08,0.128,0.291,8.5,0.217,0.813,0.121,0.111,211.2,13.9,0.143,113.0,41.0,176.0,52.27,0.86,0.72,0.9,0.742,0.048,0.109,4.382,0.195,13.385,187.43,43.3,13.16,0.0,0.119,0.854,0.234,34035,0.014,0.503,0.096,32.8,250.1,,27.3,0.096,0.054,8.02,9.36,0.172,0.08,8504.0,0.124,44.0,72478,0.185,,
GA,South,South Atlantic,Oglethorpe County,13221,13221,Region 24,1/1/2014,6677.0,0.118,5.4,4.3,0.08,0.249,0.289,8.38,0.268,0.164,,0.273,204.3,34.8,0.246,14.0,7.0,,59.85,0.9,0.62,0.725,0.534,0.067,0.246,,0.231,,366.51,77.0,13.08,0.018,0.097,0.788,0.4,14618,0.007,0.993,0.117,71.4,358.4,,,0.132,0.015,23.99,11.99,0.29,0.134,9064.0,0.15,21.0,42992,0.485,,
GA,South,South Atlantic,Oglethorpe County,13221,13221,Region 24,1/1/2015,6847.0,0.118,5.4,4.3,0.08,0.249,0.294,8.1,0.258,0.126,,0.222,294.2,35.3,0.221,14.0,7.0,,49.46,0.88,0.59,0.675,0.509,0.059,0.253,4.065,0.287,10.261,383.61,73.3,13.08,0.018,0.106,0.853,0.417,14548,0.008,0.993,0.126,71.4,331.7,,,0.135,0.015,24.49,16.66,0.262,0.111,9031.0,0.15,27.0,44026,0.492,,
GA,South,South Atlantic,Paulding County,13223,13223,Region 24,1/1/2014,6424.0,0.17,4.8,4.2,0.07,0.199,0.256,8.05,0.258,0.767,0.105,0.2,243.8,26.7,0.182,13.0,14.0,10.0,92.05,0.81,0.61,0.76,0.605,0.084,0.155,,0.276,,177.84,57.9,13.14,0.031,0.137,0.826,0.636,144800,0.007,0.201,0.108,36.8,336.0,6.0,48.1,0.126,0.059,14.66,15.56,0.227,0.092,11100.0,0.168,17.0,59621,0.317,2.91,0.226
GA,South,South Atlantic,Paulding County,13223,13223,Region 24,1/1/2015,5867.0,0.17,4.8,4.2,0.07,0.199,0.268,7.8,0.243,0.811,0.105,0.132,202.3,25.3,0.17,12.0,14.0,33.0,77.55,0.85,0.61,0.75,0.606,0.074,0.149,3.385,0.281,5.318,144.0,54.9,13.14,0.0,0.139,0.828,0.639,146950,0.007,0.201,0.119,36.8,314.8,6.2,32.9,0.126,0.059,12.99,17.35,0.213,0.083,10867.0,0.168,19.0,60008,0.329,2.2,
GA,South,South Atlantic,Peach County,13225,13225,Region 24,1/1/2014,9959.0,0.258,3.6,3.5,0.1,0.209,0.337,5.788,0.29,0.503,,0.222,916.5,41.9,0.22,29.0,27.0,10.0,92.9,0.81,0.61,0.6,0.502,0.109,0.35,,0.431,,639.54,74.4,12.81,0.0,0.174,0.793,0.323,27622,0.02,0.382,0.131,204.4,505.9,13.1,114.7,0.224,0.089,20.12,10.33,0.264,0.109,9975.0,0.176,33.0,39726,0.649,5.44,0.207
GA,South,South Atlantic,Peach County,13225,13225,Region 24,1/1/2015,11127.0,0.258,3.6,3.5,0.1,0.209,0.348,5.5,0.274,0.747,,0.304,999.2,40.0,0.226,25.0,41.0,52.0,86.23,0.81,0.62,0.65,0.554,0.107,0.322,5.714,0.44,7.241,643.82,81.3,12.81,0.0,0.189,0.809,0.313,27014,0.022,0.382,0.124,204.4,570.1,12.2,67.5,0.216,0.089,22.13,11.06,0.278,0.092,11192.0,0.176,33.0,42602,0.665,6.0,
GA,South,South Atlantic,Pickens County,13227,13227,Region 24,1/1/2014,8302.0,0.137,3.9,3.2,0.07,0.25,0.259,8.529,0.236,0.516,0.124,0.282,163.2,52.8,0.212,44.0,34.0,51.0,67.48,0.87,0.64,0.81,0.451,0.083,0.255,,0.21,,145.6,91.9,13.36,0.0,0.169,0.781,0.403,29268,0.008,0.731,0.113,46.4,402.5,8.4,48.7,0.12,0.024,28.02,13.51,0.252,0.103,9809.0,0.186,38.0,50131,0.415,,0.157
GA,South,South Atlantic,Pickens County,13227,13227,Region 24,1/1/2015,7748.0,0.137,3.9,3.2,0.07,0.25,0.271,8.3,0.226,0.568,0.124,0.278,177.7,52.4,0.21,48.0,34.0,88.0,57.64,0.85,0.61,0.9,0.455,0.075,0.256,4.11,0.222,7.517,144.24,85.6,13.36,0.0,0.17,0.787,0.424,29584,0.01,0.731,0.125,46.4,391.8,,,0.121,0.024,24.46,12.72,0.251,0.101,9867.0,0.186,41.0,53332,0.456,4.8,
GA,South,South Atlantic,Pierce County,13229,13229,Region 15,1/1/2014,10962.0,0.236,4.9,2.4,0.09,0.165,0.306,7.745,0.306,0.418,,0.323,277.0,76.3,0.228,37.0,16.0,5.0,104.41,0.81,0.6,0.84,0.475,0.092,0.309,,0.346,,130.12,79.1,12.6,0.073,0.129,0.872,0.326,18844,0.024,0.794,0.132,108.3,527.9,,77.7,0.151,0.04,36.03,14.41,0.283,0.102,10702.0,0.139,,38777,0.48,,
GA,South,South Atlantic,Pierce County,13229,13229,Region 15,1/1/2015,9790.0,0.236,4.9,2.4,0.08,0.165,0.308,7.4,0.316,0.644,,0.333,360.9,70.3,0.234,37.0,16.0,26.0,98.18,0.85,0.61,0.85,0.502,0.081,0.313,4.421,0.385,12.205,206.23,80.5,12.6,0.009,0.137,0.859,0.331,18938,0.022,0.794,0.124,108.3,492.8,,87.3,0.155,0.04,28.78,13.22,0.29,0.107,10407.0,0.139,,36214,0.487,,
GA,South,South Atlantic,Pike County,13231,13231,Insuff Data,1/1/2014,8315.0,0.138,,,0.09,,0.313,8.638,0.292,0.269,,0.318,191.5,37.7,0.204,11.0,17.0,6.0,81.66,0.81,0.54,0.85,0.559,0.091,0.18,,0.305,,59.74,70.1,13.05,0.065,0.133,0.831,0.501,17810,0.0,0.99,0.117,38.6,412.6,,84.3,0.127,0.0,24.49,,0.247,0.111,10449.0,,6.0,51781,0.388,,
GA,South,South Atlantic,Pike County,13231,13231,Insuff Data,1/1/2015,8006.0,0.138,,,0.09,,0.307,8.4,0.3,0.469,,0.316,168.4,36.2,0.184,11.0,17.0,11.0,81.65,0.78,0.56,0.87,0.569,0.084,0.194,3.616,0.302,14.599,54.54,80.0,13.05,0.0,0.146,0.845,0.507,17796,0.001,0.99,0.12,38.6,408.8,,63.6,0.127,0.0,26.11,,0.222,0.102,10277.0,,11.0,52393,0.347,,
GA,South,South Atlantic,Polk County,13233,13233,Region 24,1/1/2014,10396.0,0.252,5.4,5.6,0.09,0.226,0.264,7.297,0.281,0.321,,0.276,279.1,82.0,0.24,19.0,22.0,24.0,74.31,0.85,0.69,0.6,0.408,0.089,0.3,,0.359,,380.25,84.2,13.06,0.276,0.168,0.809,0.373,41188,0.047,0.514,0.135,65.3,533.1,7.0,59.4,0.166,0.054,23.17,20.36,0.301,0.105,11195.0,0.314,19.0,37815,0.584,7.72,
GA,South,South Atlantic,Polk County,13233,13233,Region 24,1/1/2015,10252.0,0.252,5.4,5.6,0.09,0.226,0.283,7.1,0.31,0.818,,0.3,286.5,79.8,0.236,27.0,22.0,41.0,74.4,0.87,0.68,0.65,0.429,0.079,0.33,4.405,0.33,11.411,417.71,76.5,13.06,0.276,0.175,0.827,0.38,41183,0.05,0.514,0.129,65.3,535.7,7.4,47.9,0.158,0.054,20.5,19.8,0.298,0.097,11124.0,0.314,24.0,38730,0.617,5.8,
GA,South,South Atlantic,Pulaski County,13235,13235,Region 24,1/1/2014,8190.0,0.153,3.1,3.0,0.1,0.166,0.307,7.385,0.31,0.44,,0.167,681.7,55.8,0.205,85.0,8.0,,81.33,0.85,0.66,0.725,0.336,0.096,0.334,,0.599,,268.92,70.5,12.65,0.0,0.109,0.859,0.423,11720,0.004,0.667,0.127,195.7,391.5,,,0.163,0.052,17.56,,0.247,0.099,10124.0,0.191,43.0,35847,0.601,,
GA,South,South Atlantic,Pulaski County,13235,13235,Region 24,1/1/2015,8374.0,0.153,3.1,3.0,0.1,0.166,0.319,6.6,0.314,0.761,,0.091,435.2,52.6,0.218,68.0,9.0,17.0,80.08,0.86,0.63,0.675,0.363,0.096,0.337,4.712,0.568,12.799,399.96,50.8,12.65,0.0,0.105,0.852,0.427,11542,0.004,0.667,0.137,195.7,384.0,,,0.183,0.052,17.15,,0.263,0.102,10363.0,0.191,43.0,37012,0.592,,
GA,South,South Atlantic,Putnam County,13237,13237,Region 24,1/1/2014,8039.0,0.232,3.9,3.1,0.1,0.166,0.323,7.759,0.254,0.571,,0.364,271.7,60.9,0.23,23.0,19.0,14.0,84.6,0.85,0.64,0.63,0.527,0.107,0.362,,0.518,,457.39,86.0,13.01,0.008,0.136,0.789,0.357,21198,0.031,0.809,0.142,42.4,393.8,12.3,86.9,0.164,0.014,22.15,6.92,0.271,0.118,9648.0,0.167,33.0,40644,0.69,,
GA,South,South Atlantic,Putnam County,13237,13237,Region 24,1/1/2015,8162.0,0.232,3.9,3.1,0.1,0.166,0.317,7.4,0.243,0.636,,0.333,481.2,56.8,0.227,24.0,19.0,23.0,74.45,0.86,0.63,0.725,0.477,0.097,0.353,4.406,0.454,10.85,502.43,79.2,13.01,0.008,0.156,0.791,0.362,21371,0.034,0.809,0.136,42.4,411.0,,,0.166,0.014,23.78,9.51,0.271,0.11,10201.0,0.167,33.0,42934,,,
GA,South,South Atlantic,Quitman County,13239,13239,Insuff Data,1/1/2014,7124.0,,,,0.16,,0.312,4.05,0.301,0.383,,0.0,365.3,79.1,0.242,,42.0,42.0,,0.86,0.67,,0.307,0.111,0.429,,0.391,,875.45,,12.55,0.0,0.153,0.654,0.294,2404,0.0,0.731,0.163,447.4,390.0,,,0.236,0.233,,,0.295,0.088,8545.0,,42.0,28675,0.931,,
GA,South,South Atlantic,Quitman County,13239,13239,Insuff Data,1/1/2015,7946.0,,,,0.15,,0.312,3.9,0.301,0.383,,0.0,831.9,72.8,0.228,,42.0,42.0,,,,,0.38,0.103,0.466,3.9,0.34,12.479,699.58,,12.55,0.0,0.138,0.645,0.377,2367,0.0,0.731,0.171,447.4,443.2,,,0.22,0.233,,,0.279,0.081,5725.0,,84.0,29111,0.966,,
GA,South,South Atlantic,Rabun County,13241,13241,Region 24,1/1/2014,10956.0,0.127,2.8,3.0,0.09,,0.292,7.946,0.245,1.0,,0.111,184.3,47.1,0.29,43.0,36.0,66.0,82.69,0.85,0.51,0.925,0.437,0.123,0.325,,0.268,,93.08,97.1,13.29,0.0,0.164,0.814,0.275,16297,0.022,0.793,0.136,51.3,432.7,,99.7,0.161,0.001,19.47,20.35,0.339,0.158,9775.0,0.146,86.0,37684,0.542,,
GA,South,South Atlantic,Rabun County,13241,13241,Region 24,1/1/2015,8745.0,0.127,2.8,3.0,0.09,,0.305,7.4,0.251,1.0,,0.167,196.4,43.7,0.278,55.0,37.0,172.0,75.22,0.84,0.52,0.875,0.446,0.106,0.322,5.392,0.275,20.249,114.49,99.4,13.29,0.0,0.192,0.785,0.252,16235,0.02,0.793,0.135,51.3,415.4,,80.7,0.169,0.001,21.07,21.07,0.33,0.14,9715.0,0.146,92.0,38114,0.522,,
GA,South,South Atlantic,Randolph County,13243,13243,Insuff Data,1/1/2014,10294.0,,3.3,,0.16,,0.365,6.062,0.347,0.003,,0.143,740.9,54.9,0.219,26.0,13.0,79.0,54.54,0.74,0.61,0.625,0.416,0.137,0.437,,0.381,,136.82,69.9,12.47,0.0,0.158,0.739,0.184,7327,0.001,0.506,0.162,209.8,449.1,,,0.239,0.033,22.19,,0.272,0.079,7371.0,0.31,55.0,28497,0.826,,
GA,South,South Atlantic,Randolph County,13243,13243,Insuff Data,1/1/2015,11806.0,,3.3,,0.16,,0.365,5.5,0.343,0.329,,0.25,518.6,56.3,0.199,27.0,14.0,111.0,60.57,0.85,0.51,0.475,0.494,0.112,0.451,4.412,0.425,13.648,129.31,73.7,12.47,0.283,0.164,0.735,0.16,7197,0.0,0.506,0.168,209.8,515.3,,,0.241,0.033,,,0.25,0.071,8320.0,0.31,56.0,28105,0.825,,
GA,South,South Atlantic,Richmond County,13245,13245,Region 24,1/1/2014,11379.0,0.17,3.4,3.4,0.12,0.234,0.33,5.192,0.28,0.637,0.174,0.261,903.5,62.8,0.203,77.0,166.0,146.0,48.18,0.78,0.51,0.55,0.583,0.104,0.446,,0.581,,536.09,72.7,12.78,0.0,0.182,0.801,0.202,202587,0.008,0.092,0.118,640.4,545.5,11.9,109.9,0.235,0.125,15.62,11.79,0.258,0.069,8131.0,0.187,139.0,36490,0.683,11.64,0.285
GA,South,South Atlantic,Richmond County,13245,13245,Region 24,1/1/2015,10897.0,0.17,3.4,3.4,0.11,0.234,0.332,4.8,0.277,0.643,0.174,0.211,818.9,61.0,0.198,78.0,179.0,234.0,47.44,0.77,0.51,0.59,0.597,0.094,0.436,5.269,0.573,10.711,507.16,76.2,12.78,0.0,0.181,0.816,0.194,202003,0.009,0.092,0.116,640.4,525.9,11.5,106.3,0.232,0.125,16.71,13.48,0.25,0.071,8254.0,0.187,158.0,36069,0.694,13.3,
GA,South,South Atlantic,Rockdale County,13247,13247,Region 24,1/1/2014,6569.0,0.139,3.0,2.6,0.1,0.117,0.331,6.102,0.293,0.731,0.125,0.222,769.5,41.0,0.228,79.0,68.0,58.0,66.04,0.87,0.6,0.66,0.609,0.101,0.274,,0.391,,437.99,61.1,13.26,0.014,0.175,0.768,0.524,85820,0.035,0.149,0.135,117.5,333.0,6.9,41.8,0.185,0.133,16.49,10.0,0.282,0.109,9453.0,0.105,40.0,50699,0.54,6.84,0.198
GA,South,South Atlantic,Rockdale County,13247,13247,Region 24,1/1/2015,6516.0,0.139,3.0,2.6,0.1,0.117,0.327,5.9,0.289,0.877,0.125,0.222,723.6,38.5,0.223,78.0,69.0,99.0,62.89,0.86,0.58,0.72,0.611,0.09,0.242,3.908,0.401,8.04,411.26,56.7,13.26,0.019,0.179,0.741,0.491,86919,0.031,0.149,0.129,117.5,325.7,7.5,40.8,0.179,0.133,14.14,11.92,0.268,0.117,9236.0,0.105,44.0,50646,0.558,6.0,
GA,South,South Atlantic,Schley County,13249,13249,Insuff Data,1/1/2014,8793.0,,,,0.08,,0.29,7.387,0.275,0.158,,0.286,298.8,54.2,0.223,,,,,0.66,0.62,0.775,0.467,0.119,0.285,,0.257,,139.1,,12.68,0.0,0.175,0.748,0.361,4990,0.0,1.0,0.129,,421.9,,,0.187,0.005,34.25,,0.273,0.122,9024.0,,80.0,39105,0.419,,
GA,South,South Atlantic,Schley County,13249,13249,Insuff Data,1/1/2015,7229.0,,,,0.09,,0.296,6.8,0.267,0.043,,0.5,220.4,44.5,0.211,,,,,0.77,0.56,0.825,0.473,0.1,0.286,5.921,0.265,14.028,118.73,76.6,12.68,0.0,0.186,0.773,0.329,5089,0.004,1.0,0.128,,409.2,,,0.195,0.005,29.6,,0.265,0.1,8145.0,,79.0,38944,0.443,,
